,precision,recall,f1-score,support
0,1.0,1.0,1.0,29.0
1,1.0,1.0,1.0,60.0
2,0.96,0.9795918367346939,0.9696969696969697,49.0
3,1.0,1.0,1.0,68.0
4,0.9857142857142858,1.0,0.9928057553956835,69.0
5,1.0,0.9857142857142858,0.9928057553956835,70.0
6,0.9803921568627451,0.9803921568627451,0.9803921568627451,51.0
7,1.0,0.9846153846153847,0.9922480620155039,65.0
8,0.9838709677419355,1.0,0.991869918699187,61.0
9,1.0,1.0,1.0,70.0
A,1.0,1.0,1.0,15.0
B,1.0,1.0,1.0,65.0
C,1.0,1.0,1.0,33.0
D,1.0,1.0,1.0,66.0
E,1.0,1.0,1.0,22.0
F,1.0,1.0,1.0,68.0
G,1.0,1.0,1.0,53.0
H,1.0,1.0,1.0,46.0
I,1.0,1.0,1.0,53.0
J,1.0,1.0,1.0,13.0
K,1.0,1.0,1.0,67.0
L,1.0,1.0,1.0,68.0
M,1.0,0.875,0.9333333333333333,8.0
N,1.0,1.0,1.0,11.0
O,1.0,1.0,1.0,15.0
P,1.0,1.0,1.0,48.0
Q,1.0,1.0,1.0,13.0
R,1.0,0.9807692307692307,0.9902912621359223,52.0
S,1.0,1.0,1.0,12.0
T,1.0,1.0,1.0,1.0
U,0.9545454545454546,1.0,0.9767441860465116,63.0
V,1.0,0.9423076923076923,0.9702970297029703,52.0
W,0.9795918367346939,0.9795918367346939,0.9795918367346939,49.0
X,1.0,1.0,1.0,47.0
Y,1.0,1.0,1.0,35.0
Z,0.9818181818181818,1.0,0.9908256880733946,54.0
accuracy,0.9938309685379395,0.9938309685379395,0.9938309685379395,0.9938309685379395
macro avg,0.9951648023171473,0.9918884006594091,0.9933583876136832,1621.0
weighted avg,0.9939697471937626,0.9938309685379395,0.9938137380049303,1621.0
